Feature,Landmarks,Coordinates
1,"36, 39","36_x,36_y,39_x,39_y"
2,"42, 45","42_x,42_y,45_x,45_y"
3,"39, 42","39_x,39_y,42_x,42_y"
4,"37, 41","37_x,37_y,41_x,41_y"
5,"43, 47","43_x,43_y,47_x,47_y"
6,"38, 40","38_x,38_y,40_x,40_y"
7,"44, 46","44_x,44_y,46_x,46_y"
8,"21, 22","21_x,21_y,22_x,22_y"
9,"21, 39","21_x,21_y,39_x,39_y"
10,"22, 42","22_x,22_y,42_x,42_y"
11,"17, 36","17_x,17_y,36_x,36_y"
12,"26, 45","26_x,26_y,45_x,45_y"
13,"31, 35","31_x,31_y,35_x,35_y"
14,"31, 33","31_x,31_y,33_x,33_y"
15,"33, 35","33_x,33_y,35_x,35_y"
16,"30, 31","30_x,30_y,31_x,31_y"
17,"30, 35","30_x,30_y,35_x,35_y"
18,"48, 54","48_x,48_y,54_x,54_y"
19,"48, 51","48_x,48_y,51_x,51_y"
20,"48, 57","48_x,48_y,57_x,57_y"
21,"51, 54","51_x,51_y,54_x,54_y"
22,"54, 57","54_x,54_y,57_x,57_y"
23,"61, 67","61_x,61_y,67_x,67_y"
24,"62, 66","62_x,62_y,66_x,66_y"
25,"63, 65","63_x,63_y,65_x,65_y"
26,"4, 8","4_x,4_y,8_x,8_y"
27,"8, 12","8_x,8_y,12_x,12_y"
28,"7, 9","7_x,7_y,9_x,9_y"
29,"17, 30","17_x,17_y,30_x,30_y"
30,"21, 30","21_x,21_y,30_x,30_y"
31,"22, 30","22_x,22_y,30_x,30_y"
32,"26, 30","26_x,26_y,30_x,30_y"
33,"30, 48","30_x,30_y,48_x,48_y"
34,"30, 54","30_x,30_y,54_x,54_y"
35,"30, 36","30_x,30_y,36_x,36_y"
36,"30, 45","30_x,30_y,45_x,45_y"
37,"17, 21","17_x,17_y,21_x,21_y"
38,"22, 26","22_x,22_y,26_x,26_y"
39,"30, 39","30_x,30_y,39_x,39_y"
40,"30, 42","30_x,30_y,42_x,42_y"
41,"8, 48","8_x,8_y,48_x,48_y"
42,"8, 54","8_x,8_y,54_x,54_y"
43,"31, 48","31_x,31_y,48_x,48_y"
44,"35, 54","35_x,35_y,54_x,54_y"
45,"24, 8","24_x,24_y,8_x,8_y"
46,"0, 16","0_x,0_y,16_x,16_y"
