Feature,Landmarks,Coordinates
1,"36, 39","36_x,36_y,39_x,39_y"
2,"37, 41","37_x,37_y,41_x,41_y"
3,"38, 40","38_x,38_y,40_x,40_y"
4,"17, 36","17_x,17_y,36_x,36_y"
5,"31, 33","31_x,31_y,33_x,33_y"
6,"30, 31","30_x,30_y,31_x,31_y"
7,"48, 51","48_x,48_y,51_x,51_y"
8,"48, 57","48_x,48_y,57_x,57_y"
9,"61, 67","61_x,61_y,67_x,67_y"
10,"62, 66","62_x,62_y,66_x,66_y"
11,"4, 8","4_x,4_y,8_x,8_y"
12,"17, 30","17_x,17_y,30_x,30_y"
13,"21, 30","21_x,21_y,30_x,30_y"
14,"30, 48","30_x,30_y,48_x,48_y"
15,"30, 36","30_x,30_y,36_x,36_y"
16,"17, 21","17_x,17_y,21_x,21_y"
17,"30, 39","30_x,30_y,39_x,39_y"
18,"8, 48","8_x,8_y,48_x,48_y"
19,"31, 48","31_x,31_y,48_x,48_y"
20,"24, 8","24_x,24_y,8_x,8_y"
21,"0, 16","0_x,0_y,16_x,16_y"
